name,addr,city,phone,type,class
"rainbow room","30 rockefeller plaza","new york","212/632-5000","or 212/632-5100 american",55
"rainbow room","30 rockefeller plaza","new york city","212-632-5000","american (new)",55
"river cafe","1 water st. at the east river","brooklyn","718/522-5200","american",56
"river cafe","1 water st.","brooklyn","718-522-5200","american (new)",56
"san domenico","240 central park s","new york","212/265-5959","italian",57
"san domenico","240 central park s.","new york city","212-265-5959","italian",57
"second avenue deli","156 2nd ave. at 10th st.","new york","212/677-0606","delicatessen",58
"second avenue deli","156 second ave.","new york city","212-677-0606","delis",58
"seryna","11 e. 53rd st.","new york","212/980-9393","asian",59
"seryna","11 e. 53rd st.","new york city","212-980-9393","japanese",59
"shun lee west","43 w. 65th st.","new york","212/371-8844","asian",60
"shun lee palace","155 e. 55th st.","new york city","212-371-8844","chinese",60
"sign of the dove","1110 3rd ave. at 65th st.","new york","212/861-8080","american",61
"sign of the dove","1110 third ave.","new york city","212-861-8080","american (new)",61
"smith & wollensky","201 e. 49th st.","new york","212/753-1530","american",62
"smith & wollensky","797 third ave.","new york city","212-753-1530","steakhouses",62
"tavern on the green","in central park at 67th st.","new york","212/873-3200","american",63
"tavern on the green","central park west","new york city","212-873-3200","american (new)",63
"uncle nick's","747 9th ave.  between 50th and 51st sts.","new york","212/315-1726","mediterranean",64
"uncle nick's","747 ninth ave.","new york city","212-245-7992","greek",64
"union square cafe","21 e. 16th st.","new york","212/243-4020","american",65
"union square cafe","21 e. 16th st.","new york city","212-243-4020","american (new)",65
"virgil's","152 w. 44th st.","new york","212/ 921-9494","american",66
"virgil's real bbq","152 w. 44th st.","new york city","212-921-9494","bbq",66
"chin's","3200 las vegas blvd. s","las vegas","702/733-8899","asian",67
"chin's","3200 las vegas blvd. s.","las vegas","702-733-8899","chinese",67
"coyote cafe","3799 las vegas blvd. s","las vegas","702/891-7349","southwestern",68
"coyote cafe (las vegas)","3799 las vegas blvd. s.","las vegas","702-891-7349","southwestern",68
"le montrachet","3000 w. paradise rd.","las vegas","702/732-5111","continental",69
"le montrachet bistro","3000 paradise rd.","las vegas","702-732-5651","french bistro",69
"palace court","3570 las vegas blvd. s","las vegas","702/731-7547","continental",70
"palace court","3570 las vegas blvd. s.","las vegas","702-731-7110","french (new)",70
"second street grille","200 e. fremont st.","las vegas","702/385-3232","seafood",71
"second street grill","200 e. fremont st.","las vegas","702-385-6277","pacific rim",71
"steak house","2880 las vegas blvd. s","las vegas","702/734-0410","steak houses",72
"steak house  the","2880 las vegas blvd. s.","las vegas","702-734-0410","steakhouses",72
"tillerman","2245 e. flamingo rd.","las vegas","702/731-4036","seafood",73
"tillerman  the","2245 e. flamingo rd.","las vegas","702-731-4036","steakhouses",73
"abruzzi","2355 peachtree rd.  peachtree battle shopping center","atlanta","404/261-8186","italian",74
"abruzzi","2355 peachtree rd. ne","atlanta","404-261-8186","italian",74
"bacchanalia","3125 piedmont rd.  near peachtree rd.","atlanta","404/365-0410","international",75
"bacchanalia","3125 piedmont rd.","atlanta","404-365-0410","californian",75
"bone's","3130 piedmont road","atlanta","404/237-2663","american",76
"bone's restaurant","3130 piedmont rd. ne","atlanta","404-237-2663","steakhouses",76
"brasserie le coze","3393 peachtree rd.  lenox square mall  near neiman marcus","atlanta","404/266-1440","french",77
"brasserie le coze","3393 peachtree rd.","atlanta","404-266-1440","french bistro",77
"buckhead diner","3073 piedmont road","atlanta","404/262-3336","american",78
"buckhead diner","3073 piedmont rd.","atlanta","404-262-3336","american (new)",78
"ciboulette","1529 piedmont ave.","atlanta","404/874-7600","french",79
"ciboulette restaurant","1529 piedmont ave.","atlanta","404-874-7600","french (new)",79
"delectables","1 margaret mitchell sq.","atlanta","404/681-2909","american",80
"delectables","1 margaret mitchell sq.","atlanta","404-681-2909","cafeterias",80
"georgia grille","2290 peachtree rd.  peachtree square shopping center","atlanta","404/352-3517","american",81
"georgia grille","2290 peachtree rd.","atlanta","404-352-3517","southwestern",81
"hedgerose heights inn","490 e. paces ferry rd.","atlanta","404/233-7673","international",82
"hedgerose heights inn  the","490 e. paces ferry rd. ne","atlanta","404-233-7673","continental",82
"heera of india","595 piedmont ave.  rio shopping mall","atlanta","404/876-4408","asian",83
"heera of india","595 piedmont ave.","atlanta","404-876-4408","indian",83
"indigo coastal grill","1397 n. highland ave.","atlanta","404/876-0676","caribbean",84
"indigo coastal grill","1397 n. highland ave.","atlanta","404-876-0676","eclectic",84
"la grotta","2637 peachtree rd.  peachtree house condominium","atlanta","404/231-1368","italian",85
"la grotta","2637 peachtree rd. ne","atlanta","404-231-1368","italian",85
"mary mac's tea room","224 ponce de leon ave.","atlanta","404/876-1800","southern",86
"mary mac's tea room","224 ponce de leon ave.","atlanta","404-876-1800","southern/soul",86
"nikolai's roof","255 courtland st.  at harris st.","atlanta","404/221-6362","continental",87
"nikolai's roof","255 courtland st.","atlanta","404-221-6362","continental",87
"pano's and paul's","1232 w. paces ferry rd.","atlanta","404/261-3662","international",88
"pano's & paul's","1232 w. paces ferry rd.","atlanta","404-261-3662","american (new)",88
"cafe  ritz-carlton  buckhead","3434 peachtree rd.","atlanta","404/237-2700","ext 6108 international",89
"ritz-carlton cafe (buckhead)","3434 peachtree rd. ne","atlanta","404-237-2700","american (new)",89
"dining room  ritz-carlton  buckhead","3434 peachtree rd.","atlanta","404/237-2700","international",90
"ritz-carlton dining room (buckhead)","3434 peachtree rd. ne","atlanta","404-237-2700","american (new)",90
"restaurant  ritz-carlton  atlanta","181 peachtree st.","atlanta","404/659-0400","continental",91
"ritz-carlton restaurant","181 peachtree st.","atlanta","404-659-0400","french (classic)",91
"toulouse","b peachtree rd.","atlanta","404/351-9533","french",92
"toulouse","293-b peachtree rd.","atlanta","404-351-9533","french (new)",92
"veni vidi vici","41 14th st.","atlanta","404/875-8424","italian",93
"veni vidi vici","41 14th st.","atlanta","404-875-8424","italian",93
"alain rondelli","126 clement st.","san francisco","415/387-0408","french",94
"alain rondelli","126 clement st.","san francisco","415-387-0408","french (new)",94
"aqua","252 california st.","san francisco","415/956-9662","seafood",95
"aqua","252 california st.","san francisco","415-956-9662","american (new)",95
"boulevard","1 mission st.","san francisco","415/543-6084","american",96
"boulevard","1 mission st.","san francisco","415-543-6084","american (new)",96
"cafe claude","7 claude la.","san francisco","415/392-3505","french",97
"cafe claude","7 claude ln.","san francisco","415-392-3505","french bistro",97
"campton place","340 stockton st.","san francisco","415/955-5555","american",98
"campton place","340 stockton st.","san francisco","415-955-5555","american (new)",98
"chez michel","804 northpoint","san francisco","415/775-7036","french",99
"chez michel","804 north point st.","san francisco","415-775-7036","californian",99
"fleur de lys","777 sutter st.","san francisco","415/673-7779","french",100
"fleur de lys","777 sutter st.","san francisco","415-673-7779","french (new)",100
"fringale","570 4th st.","san francisco","415/543-0573","french",101
"fringale","570 fourth st.","san francisco","415-543-0573","french bistro",101
"hawthorne lane","22 hawthorne st.","san francisco","415/777-9779","american",102
"hawthorne lane","22 hawthorne st.","san francisco","415-777-9779","californian",102
"khan toke thai house","5937 geary blvd.","san francisco","415/668-6654","asian",103
"khan toke thai house","5937 geary blvd.","san francisco","415-668-6654","thai",103
"la folie","2316 polk st.","san francisco","415/776-5577","french",104
"la folie","2316 polk st.","san francisco","415-776-5577","french (new)",104
"lulu","816 folsom st.","san francisco","415/495-5775","mediterranean",105
"lulu restaurant-bis-cafe","816 folsom st.","san francisco","415-495-5775","mediterranean",105
"masa's","648 bush st.","san francisco","415/989-7154","french",106
"masa's","648 bush st.","san francisco","415-989-7154","french (new)",106
"mifune japan center  kintetsu building","1737 post st.","san francisco","415/922-0337","asian",107
"mifune","1737 post st.","san francisco","415-922-0337","japanese",107
"plumpjack cafe","3201 fillmore st.","san francisco","415/563-4755","mediterranean",108
"plumpjack cafe","3127 fillmore st.","san francisco","415-563-4755","american (new)",108
"postrio","545 post st.","san francisco","415/776-7825","american",109
"postrio","545 post st.","san francisco","415-776-7825","californian",109
"ritz-carlton restaurant and dining room","600 stockton st.","san francisco","415/296-7465","american",110
"ritz-carlton dining room (san francisco)","600 stockton st.","san francisco","415-296-7465","french (new)",110
"rose pistola","532 columbus ave.","san francisco","415/399-0499","italian",111
"rose pistola","532 columbus ave.","san francisco","415-399-0499","italian",111
"adriano's ristorante","2930 beverly glen circle","los angeles","310/475-9807","italian",112
"barney greengrass","9570 wilshire blvd.","beverly hills","310/777-5877","american",113
"beaurivage","26025 pacific coast hwy.","malibu","310/456-5733","french",114
"bistro garden","176 n. canon dr.","los angeles","310/550-3900","californian",115
"border grill","4th st.","los angeles","310/451-1655","mexican",116
"broadway deli","3rd st. promenade","santa monica","310/451-0616","american",117
"ca'brea","346 s. la brea ave.","los angeles","213/938-2863","italian",118
"ca'del sol","4100 cahuenga blvd.","los angeles","818/985-4669","italian",119
"cafe pinot","700 w. fifth st.","los angeles","213/239-6500","californian",120
"california pizza kitchen","207 s. beverly dr.","los angeles","310/275-1101","californian",121
"canter's","419 n. fairfax ave.","los angeles","213/651-2030.","american",122
"cava","3rd st.","los angeles","213/658-8898","mediterranean",123
"cha cha cha","656 n. virgil ave.","los angeles","213/664-7723","caribbean",124
"chan dara","310 n. larchmont blvd.","los angeles","213/467-1052","asian",125
"clearwater cafe","168 w. colorado blvd.","los angeles","818/356-0959","health food",126
"dining room","9500 wilshire blvd.","los angeles","310/275-5200","californian",127
"dive!","10250 santa monica blvd.","los angeles","310/788-","dive american",128
"drago","2628 wilshire blvd.","santa monica","310/828-1585","italian",129
"drai's","730 n. la cienega blvd.","los angeles","310/358-8585","french",130
"dynasty room","930 hilgard ave.","los angeles","310/208-8765","continental",131
"eclipse","8800 melrose ave.","los angeles","310/724-5959","californian",132
"ed debevic's","134 n. la cienega","los angeles","310/659-1952","american",133
"el cholo","1121 s. western ave.","los angeles","213/734-2773","mexican",134
"gilliland's","2424 main st.","santa monica","310/392-3901","american",135
"gladstone's","4 fish 17300 pacific coast hwy. at sunset blvd.","pacific palisades","310/454-3474","american",136
"hard rock cafe","8600 beverly blvd.","los angeles","310/276-7605","american",137
"harry's bar & american grill","2020 ave. of the stars","los angeles","310/277-2333","italian",138
"il fornaio cucina italiana","301 n. beverly dr.","los angeles","310/550-8330","italian",139
"jack sprat's grill","10668 w. pico blvd.","los angeles","310/837-6662","health food",140
"jackson's farm","439 n. beverly drive","los angeles","310/273-5578","californian",141
"jimmy's","201 moreno dr.","los angeles","310/552-2394","continental",142
"joss","9255 sunset blvd.","los angeles","310/276-1886","asian",143
"le colonial","8783 beverly blvd.","los angeles","310/289-0660","asian",144
"le dome","8720 sunset blvd.","los angeles","310/659-6919","french",145
"louise's trattoria","4500 los feliz blvd.","los angeles","213/667-0777","italian",146
"mon kee seafood restaurant","679 n. spring st.","los angeles","213/628-6717","asian",147
"morton's","8764 melrose ave.","los angeles","310/276-5205","american",148
"nate 'n' al's","414 n. beverly dr.","los angeles","310/274-0101","american",149
"nicola","601 s. figueroa st.","los angeles","213/485-0927","american",150
"ocean avenue","1401 ocean ave.","santa monica","310/394-5669","american",151
"orleans","11705 national blvd.","los angeles","310/479-4187","cajun",152
"pacific dining car","6th st.","los angeles","213/483-6000","american",153
"paty's","10001 riverside dr.","toluca lake","818/761-9126","american",154
"pinot hollywood","1448 n. gower st.","los angeles","213/461-8800","californian",155
"posto","14928 ventura blvd.","sherman oaks","818/784-4400","italian",156
"prego","362 n. camden dr.","los angeles","310/277-7346","italian",157
"rj's the rib joint","252 n. beverly dr.","los angeles","310/274-7427","american",158
"remi","3rd st. promenade","santa monica","310/393-6545","italian",159
"restaurant horikawa","111 s. san pedro st.","los angeles","213/680-9355","asian",160
"roscoe's house of chicken 'n' waffles","1514 n. gower st.","los angeles","213/466-9329","american",161
"schatzi on main","3110 main st.","los angeles","310/399-4800","continental",162
"sofi","3rd st.","los angeles","213/651-0346","mediterranean",163
"swingers","8020 beverly blvd.","los angeles","213/653-5858","american",164
"tavola calda","7371 melrose ave.","los angeles","213/658-6340","italian",165
"the mandarin","430 n. camden dr.","los angeles","310/859-0926","asian",166
"tommy tang's","7313 melrose ave.","los angeles","213/937-5733","asian",167
"tra di noi","3835 cross creek rd.","los angeles","310/456-0169","italian",168
"trader vic's","9876 wilshire blvd.","los angeles","310/276-6345","asian",169
"vida","1930 north hillhurst ave.","los feliz","213/660-4446","american",170
"west beach cafe","60 n. venice blvd.","los angeles","310/823-5396","american",171
"20 mott","20 mott st.  between bowery and pell st.","new york","212/964-0380","asian",172
"9 jones street","9 jones st.","new york","212/989-1220","american",173
"adrienne","700 5th ave. at 55th st.","new york","212/903-3918","french",174
"agrotikon","322 e. 14 st.  between 1st and 2nd aves.","new york","212/473-2602","mediterranean",175
"aja","937 broadway at 22nd st.","new york","212/473-8388","american",176
"alamo","304 e. 48th st.","new york","212/ 759-0590","mexican",177
"alley's end","311 w. 17th st.","new york","212/627-8899","american",178
"ambassador grill","1 united nations plaza at 44th st.","new york","212/702-5014","american",179
"american place","2 park ave. at 32nd st.","new york","212/684-2122","american",180
"anche vivolo","222 e. 58th st.  between 2nd and 3rd aves.","new york","212/308-0112","italian",181
"arizona","206 206 e. 60th st.","new york","212/838-0440","american",182
"arturo's","106 w. houston st.  off thompson st.","new york","212/677-3820","italian",183
"au mandarin","200-250 vesey st. world financial center","new york","212/385-0313","asian",184
"bar anise","1022 3rd ave.  between 60th and 61st sts.","new york","212/355-1112","mediterranean",185
"barbetta","321 w. 46th st.","new york","212/246-9171","italian",186
"ben benson's","123 w. 52nd st.","new york","212/581-8888","american",187
"big cup","228 8th ave.  between 21st and 22nd sts.","new york","212/206-0059","coffee bar",188
"billy's","948 1st ave.  between 52nd and 53rd sts.","new york","212/753-1870","american",189
"boca chica","13 1st ave.  near 1st st.","new york","212/473-0108","latin american",190
"bolo","23 e. 22nd st.","new york","212/228-2200","mediterranean",191
"boonthai","1393a 2nd ave.  between 72nd and 73rd sts.","new york","212/249-8484","asian",192
"bouterin","420 e. 59th st.  off 1st ave.","new york","212/758-0323","french",193
"brothers bar-b-q","225 varick st. at clarkston st.","new york","212/727-2775","american",194
"bruno","240 e. 58th st.","new york","212/688-4190","italian",195
"bryant park grill  roof restaurant and bp cafe","25 w. 40th st.  between 5th and 6th aves.","new york","212/840-6500","american",196
"c3","103 waverly pl.  near washington sq.","new york","212/254-1200","american",197
"ct","111 e. 22nd st.  between park ave. s and lexington ave.","new york","212/995-8500","french",198
"cafe bianco","1486 2nd ave.  between 77th and 78th sts.","new york","212/988-2655","coffee bar",199
"cafe botanica","160 central park s","new york","212/484-5120","french",200
"cafe la fortuna","69 w. 71st st.","new york","212/724-5846","coffee bar",201
"cafe luxembourg","200 w. 70th st.","new york","212/873-7411","french",202
"cafe pierre","2 e. 61st st.","new york","212/940-8185","french",203
"cafe centro","200 park ave.  between 45th st. and vanderbilt ave.","new york","212/818-1222","french",204
"cafe fes","246 w. 4th st. at charles st.","new york","212/924-7653","mediterranean",205
"caffe dante","81 macdougal st.  between houston and bleeker sts.","new york","212/982-5275","coffee bar",206
"caffe dell'artista","46 greenwich ave.","new york","212/645-4431","coffee bar",207
"caffe lure","169 sullivan st.  between houston and bleecker sts.","new york","212/473-2642","french",208
"caffe reggio","119 macdougal st.  between 3rd and bleecker sts.","new york","212/475-9557","coffee bar",209
"caffe roma","385 broome st. at mulberry","new york","212/226-8413","coffee bar",210
"caffe vivaldi","32 jones st. at bleecker st.","new york","212/691-7538","coffee bar",211
"caffe bondi ristorante","7 w. 20th st.","new york","212/691-8136","italian",212
"capsouto freres","451 washington st.  near watts st.","new york","212/966-4900","french",213
"captain's table","860 2nd ave. at 46th st.","new york","212/697-9538","seafood",214
"casa la femme","150 wooster st.  between houston and prince sts.","new york","212/505-0005","middle eastern",215
"cendrillon asian grill & marimba bar","45 mercer st.  between broome and grand sts.","new york","212/343-9012","asian",216
"chez jacqueline","72 macdougal st.  between w. houston and bleecker sts.","new york","212/505-0727","french",217
"chiam","160 e. 48th st.","new york","212/371-2323","asian",218
"china grill","60 w. 53rd st.","new york","212/333-7788","american",219
"cite","120 w. 51st st.","new york","212/956-7100","french",220
"coco pazzo","23 e. 74th st.","new york","212/794-0205","italian",221
"columbus bakery","53rd sts.","new york","212/421-0334","coffee bar",222
"corrado cafe","1013 3rd ave.  between 60th and 61st sts.","new york","212/753-5100","coffee bar",223
"cupcake cafe","522 9th ave. at 39th st.","new york","212/465-1530","coffee bar",224
"da nico","164 mulberry st.  between grand and broome sts.","new york","212/343-1212","italian",225
"dean & deluca","121 prince st.","new york","212/254-8776","coffee bar",226
"diva","341 w. broadway  near grand st.","new york","212/941-9024","italian",227
"dix et sept","181 w. 10th st.","new york","212/645-8023","french",228
"docks","633 3rd ave. at 40th st.","new york","212/ 986-8080","seafood",229
"duane park cafe","157 duane st.  between w. broadway and hudson st.","new york","212/732-5555","american",230
"el teddy's","219 w. broadway  between franklin and white sts.","new york","212/941-7070","mexican",231
"emily's","1325 5th ave. at 111th st.","new york","212/996-1212","american",232
"empire korea","6 e. 32nd st.","new york","212/725-1333","asian",233
"ernie's","2150 broadway  between 75th and 76th sts.","new york","212/496-1588","american",234
"evergreen cafe","1288 1st ave. at 69th st.","new york","212/744-3266","asian",235
"f. ille ponte ristorante","39 desbrosses st.  near west st.","new york","212/226-4621","italian",236
"felix","340 w. broadway at grand st.","new york","212/431-0021","french",237
"ferrier","29 e. 65th st.","new york","212/772-9000","french",238
"fifty seven fifty seven","57 e. 57th st.","new york","212/758-5757","american",239
"film center cafe","635 9th ave.  between 44th and 45th sts.","new york","212/ 262-2525","american",240
"fiorello's roman cafe","1900 broadway  between 63rd and 64th sts.","new york","212/595-5330","italian",241
"firehouse","522 columbus ave.  between 85th and 86th sts.","new york","212/595-3139","american",242
"first","87 1st ave.  between 5th and 6th sts.","new york","212/674-3823","american",243
"fishin eddie","73 w. 71st st.","new york","212/874-3474","seafood",244
"fleur de jour","348 e. 62nd st.","new york","212/355-2020","coffee bar",245
"flowers","21 west 17th st.  between 5th and 6th aves.","new york","212/691-8888","american",246
"follonico","6 w. 24th st.","new york","212/691-6359","italian",247
"fraunces tavern","54 pearl st. at broad st.","new york","212/269-0144","american",248
"french roast","458 6th ave. at 11th st.","new york","212/533-2233","french",249
"french roast cafe","2340 broadway at 85th st.","new york","212/799-1533","coffee bar",250
"frico bar","402 w. 43rd st.  off 9th ave.","new york","212/564-7272","italian",251
"fujiyama mama","467 columbus ave.  between 82nd and 83rd sts.","new york","212/769-1144","asian",252
"gabriela's","685 amsterdam ave. at 93rd st.","new york","212/961-0574","mexican",253
"gallagher's","228 w. 52nd st.","new york","212/245-5336","american",254
"gianni's","15 fulton st.","new york","212/608-7300","seafood",255
"girafe","208 e. 58th st.  between 2nd and 3rd aves.","new york","212/752-3054","italian",256
"global","33 93 2nd ave.  between 5th and 6th sts.","new york","212/477-8427","american",257
"golden unicorn","18 e. broadway at catherine st.","new york","212/ 941-0911","asian",258
"grand ticino","228 thompson st.  between w. 3rd and bleecker sts.","new york","212/777-5922","italian",259
"halcyon","151 w. 54th st.  in the rihga royal hotel","new york","212/468-8888","american",260
"hard rock cafe","221 w. 57th st.","new york","212/489-6565","american",261
"hi-life restaurant and lounge","1340 1st ave. at 72nd st.","new york","212/249-3600","american",262
"home","20 cornelia st.  between bleecker and w. 4th st.","new york","212/243-9579","american",263
"hudson river club","4 world financial center","new york","212/786-1500","american",264
"i trulli","122 e. 27th st.  between lexington and park aves.","new york","212/481-7372","italian",265
"il cortile","125 mulberry st.  between canal and hester sts.","new york","212/226-6060","italian",266
"il nido","251 e. 53rd st.","new york","212/753-8450","italian",267
"inca grill","492 broome st.  near w. broadway","new york","212/966-3371","latin american",268
"indochine","430 lafayette st.  between 4th st. and astor pl.","new york","212/505-5111","asian",269
"internet cafe","82 e. 3rd st.  between 1st and 2nd aves.","new york","212/ 614-0747","coffee bar",270
"ipanema","13 w. 46th st.","new york","212/730-5848","latin american",271
"jean lafitte","68 w. 58th st.","new york","212/751-2323","french",272
"jewel of india","15 w. 44th st.","new york","212/869-5544","asian",273
